n 5000
1990-01-13 M 16490
1990-01-27 M 21637
1990-02-01 F 78125
1990-02-07 F 78972
1990-02-16 F 37995
1990-02-16 F 32182
1990-02-16 M 29077
1990-02-21 F 29400
1990-02-24 F 9150
1990-02-25 F 81890
1990-03-12 M 3985
1990-03-17 F 56705
1990-03-26 F 20695
1990-04-02 M 17495
1990-04-04 M 16357
1990-04-06 M 80970
1990-04-12 M 10002
1990-04-14 M 19615
1990-04-17 F 9055
1990-04-21 F 22190
1990-04-23 M 21417
1990-04-28 F 55777
1990-06-05 M 77672
1990-06-11 F 8150
1990-06-27 F 61342
1990-07-13 M 48105
1990-07-23 M 8772
1990-07-27 M 50262
1990-07-31 M 30805
1990-08-15 F 28615
1990-08-26 M 77557
1990-09-08 M 27770
1990-09-13 M 21637
1990-09-24 F 867
1990-09-25 F 53062
1990-09-29 F 49652
1990-10-08 M 67367
1990-10-10 M 40272
1990-10-15 M 11150
1990-10-28 M 44170
1990-10-30 F 24117
1990-11-06 M 50522
1990-11-08 M 61135
1990-11-08 F 52815
1990-11-09 M 41452
1990-11-19 F 60612
1990-12-15 M 40432
1990-12-26 F 55255
1990-12-30 F 52660
1991-01-08 M 1108
1991-01-17 F 17078
1991-01-20 F 7008
1991-01-23 F 32545
1991-01-25 F 36574
1991-01-30 M 39050
1991-02-05 M 30784
1991-02-08 F 22192
1991-02-12 F 7736
1991-02-23 M 38678
1991-03-01 M 31276
1991-03-05 F 13180
1991-03-07 F 25854
1991-03-11 F 8596
1991-03-18 M 3175
1991-04-07 F 30778
1991-04-10 M 1435
1991-04-21 F 28410
1991-04-22 F 18596
1991-05-20 M 38634
1991-06-02 F 41282
1991-06-15 F 23608
1991-06-26 F 36771
1991-06-30 M 2922
1991-07-07 F 3788
1991-07-09 F 19412
1991-07-23 M 39942
1991-08-07 F 11846
1991-08-12 M 6427
1991-08-25 M 13503
1991-08-29 M 968
1991-08-30 M 5760
1991-09-02 M 37251
1991-09-09 F 5925
1991-09-11 M 34158
1991-09-12 F 29113
1991-09-18 F 37061
1991-09-24 M 14587
1991-09-27 M 27427
1991-10-11 F 28523
1991-10-19 F 22500
1991-10-29 F 24368
1991-11-03 M 34365
1991-11-21 M 29447
1991-11-30 M 41293
1991-12-04 M 24494
1991-12-04 F 39378
1991-12-09 M 23524
1991-12-15 M 8169
1992-01-14 F 1349
1992-01-20 F 24800
1992-01-30 F 33338
1992-02-03 M 22072
1992-02-10 M 23413
1992-03-02 M 18560
1992-03-07 M 16580
1992-03-10 M 27799
1992-03-12 F 40496
1992-03-20 M 31586
1992-03-23 F 13092
1992-04-05 M 8515
1992-04-15 M 19574
1992-04-15 M 9419
1992-04-24 F 10426
1992-04-25 F 26139
1992-04-30 F 16244
1992-05-03 F 15822
1992-05-04 M 27140
1992-05-04 M 10622
1992-05-11 M 36350
1992-05-15 M 32500
1992-05-22 M 22912
1992-05-24 M 9766
1992-05-28 F 36354
1992-06-03 F 40333
1992-06-08 M 26482
1992-06-13 M 22751
1992-06-13 M 30643
1992-06-18 M 36948
1992-06-28 M 40716
1992-06-30 F 34892
1992-07-17 M 14695
1992-07-24 F 7109
1992-07-27 M 41899
1992-08-07 F 11493
1992-08-08 F 14761
1992-08-23 M 34132
1992-09-05 F 36101
1992-09-17 F 10598
1992-09-23 M 27303
1992-09-25 M 1426
1992-10-03 M 40878
1992-10-08 F 26113
1992-10-16 F 5239
1992-10-29 M 4481
1992-11-23 F 18211
1992-11-25 M 15753
1992-11-29 F 3594
1992-11-30 F 31688
1992-12-01 F 17011
1992-12-06 F 25594
1992-12-08 M 25329
1992-12-15 F 535
1992-12-30 M 17433
1993-01-10 M 2577
1993-01-16 M 12049
1993-01-21 F 1493
1993-02-01 M 2185
1993-02-02 M 29435
1993-02-24 F 40593
1993-02-25 F 4722
1993-02-26 M 22504
1993-02-28 M 3142
1993-03-01 M 23312
1993-03-02 M 33190
1993-03-05 M 36813
1993-03-29 F 41333
1993-04-03 F 10497
1993-04-05 M 21868
1993-04-07 M 38561
1993-04-07 M 22517
1993-04-09 F 38706
1993-04-18 F 30009
1993-04-23 M 3604
1993-04-23 M 648
1993-04-23 M 11742
1993-05-10 M 6809
1993-05-13 F 20654
1993-05-14 M 26920
1993-05-18 M 30847
1993-06-02 M 34079
1993-06-05 F 40435
1993-06-09 M 27979
1993-06-13 F 24254
1993-06-15 M 2853
1993-07-07 F 22825
1993-08-10 F 7866
1993-08-31 M 19618
1993-08-31 F 32620
1993-09-17 F 13682
1993-09-19 M 9934
1993-09-30 F 31647
1993-10-03 F 9233
1993-10-11 F 38961
1993-10-28 M 29296
1993-10-30 F 23094
1993-10-31 F 14964
1993-11-10 F 40228
1993-11-14 F 11859
1993-12-13 F 6020
1993-12-17 M 35184
1993-12-21 M 41304
1993-12-23 M 23309
1994-01-03 F 27064
1994-01-15 F 13492
1994-01-29 F 35219
1994-02-04 F 31540
1994-02-15 M 40423
1994-02-15 M 830
1994-02-15 M 5031
1994-03-05 M 20335
1994-03-28 M 16290
1994-04-01 M 21964
1994-04-02 F 25015
1994-04-02 M 3840
1994-04-07 F 27398
1994-04-12 M 15107
1994-04-13 M 2080
1994-04-15 F 14615
1994-04-22 M 23524
1994-05-02 M 4582
1994-05-09 F 37658
1994-05-12 F 38152
1994-05-21 F 14578
1994-05-22 M 13478
1994-06-14 F 27781
1994-07-01 M 5058
1994-07-07 F 1809
1994-07-15 M 32217
1994-07-19 F 32906
1994-07-24 F 33233
1994-07-25 M 5697
1994-07-28 F 23314
1994-08-09 F 32762
1994-08-10 M 10739
1994-08-13 M 19043
1994-08-21 M 8869
1994-08-29 F 38996
1994-09-01 M 5307
1994-09-02 F 10648
1994-09-11 F 18328
1994-09-23 F 19840
1994-09-28 F 17059
1994-10-03 F 41429
1994-11-08 F 17742
1994-12-02 F 25196
1994-12-05 M 19706
1994-12-14 M 40432
1994-12-22 M 24438
1994-12-23 F 5851
1994-12-23 M 42302
1995-01-15 F 19773
1995-01-19 F 6695
1995-01-27 F 12950
1995-01-27 F 26458
1995-01-27 M 40557
1995-01-30 F 25190
1995-02-03 M 16441
1995-02-09 M 5060
1995-02-09 M 33192
1995-02-12 M 4782
1995-02-16 F 17899
1995-02-28 F 38439
1995-03-11 M 2819
1995-03-12 M 18469
1995-03-14 M 20571
1995-04-15 F 20592
1995-04-17 F 17808
1995-05-03 M 33537
1995-05-11 M 38015
1995-05-11 M 42165
1995-05-27 M 21334
1995-05-28 M 27853
1995-06-02 F 6665
1995-06-05 F 28735
1995-06-14 M 13087
1995-06-15 M 20346
1995-06-18 M 1522
1995-06-25 F 42255
1995-07-01 M 35474
1995-07-13 M 6308
1995-07-16 M 42251
1995-07-17 M 36240
1995-08-05 F 23489
1995-08-11 M 15104
1995-08-13 M 12314
1995-08-19 F 14198
1995-08-28 M 30348
1995-09-04 M 31168
1995-09-04 M 11954
1995-09-08 M 3456
1995-09-09 M 185
1995-09-13 M 40651
1995-09-20 M 21113
1995-10-05 F 15514
1995-10-07 M 3734
1995-10-14 M 24676
1995-10-20 F 37566
1995-10-27 F 5913
1995-10-29 F 37021
1995-10-30 F 21065
1995-11-09 M 6562
1995-11-19 M 18905
1995-12-07 F 36679
1995-12-11 F 13833
1995-12-13 F 20686
1995-12-29 M 2090
1995-12-31 F 23732
1996-01-02 M 37330
1996-01-04 F 35652
1996-01-20 F 5588
1996-01-27 F 32121
1996-01-28 F 23576
1996-02-05 F 5961
1996-02-08 F 6756
1996-02-12 F 9097
1996-02-17 M 29030
1996-02-23 M 34928
1996-03-05 F 1578
1996-03-12 M 18821
1996-03-25 M 31942
1996-03-29 F 33647
1996-04-03 F 31278
1996-04-13 F 32940
1996-04-16 F 35458
1996-04-22 M 9358
1996-05-08 M 21253
1996-05-17 F 25810
1996-05-19 F 38851
1996-05-21 M 27582
1996-05-21 F 2264
1996-05-24 F 3322
1996-06-07 F 37698
1996-06-27 M 4306
1996-07-10 M 10333
1996-07-28 F 42480
1996-07-30 F 29794
1996-08-25 M 687
1996-09-08 M 13434
1996-09-18 F 30561
1996-09-20 M 25586
1996-09-23 M 34130
1996-09-30 M 17656
1996-10-07 F 6462
1996-10-08 F 1604
1996-10-09 M 7254
1996-10-10 M 31606
1996-10-15 M 36634
1996-11-01 M 6783
1996-11-03 F 949
1996-11-11 F 23296
1996-12-15 F 16179
1996-12-23 M 11458
1996-12-25 F 10751
1996-12-26 F 34934
1996-12-27 M 14108
1996-12-31 M 23688
1997-01-04 M 29359
1997-01-12 M 26152
1997-01-31 M 7948
1997-02-04 F 42177
1997-02-13 M 32770
1997-02-13 M 7365
1997-02-18 F 3716
1997-02-18 M 41858
1997-02-19 F 26756
1997-02-23 F 18876
1997-03-12 M 20211
1997-03-19 M 4013
1997-03-25 M 30252
1997-03-25 M 36686
1997-04-10 F 16095
1997-04-27 F 42263
1997-05-14 M 10346
1997-05-14 M 25784
1997-05-21 F 8552
1997-05-23 F 28043
1997-05-29 F 2706
1997-05-29 F 29928
1997-05-30 M 30917
1997-06-12 F 27678
1997-07-17 M 13115
1997-07-21 M 24259
1997-07-22 F 4491
1997-07-27 M 9313
1997-07-31 M 15226
1997-08-03 F 31241
1997-08-19 F 37033
1997-08-24 F 3835
1997-09-22 F 30418
1997-09-29 F 15081
1997-09-30 M 19627
1997-10-02 M 15624
1997-10-04 M 23488
1997-10-08 M 9019
1997-10-09 F 9596
1997-10-20 M 12040
1997-10-30 M 29064
1997-11-21 M 32856
1997-11-25 M 1387
1997-12-03 M 10301
1997-12-09 M 32306
1997-12-13 M 24216
1997-12-14 F 3356
1998-02-05 F 15705
1998-02-08 M 25950
1998-02-08 F 42343
1998-02-25 F 15295
1998-03-31 M 21375
1998-04-13 M 14891
1998-05-01 F 19314
1998-05-04 M 29447
1998-05-07 M 21860
1998-05-13 M 16549
1998-06-08 F 30537
1998-06-24 F 37612
1998-06-29 M 17165
1998-06-30 F 8232
1998-07-01 M 38162
1998-07-04 M 3861
1998-07-04 M 25803
1998-07-06 F 39418
1998-07-15 F 37017
1998-07-21 F 7190
1998-07-25 M 28065
1998-07-27 M 21294
1998-07-28 M 13473
1998-08-02 M 21738
1998-08-04 F 27688
1998-08-04 F 5363
1998-08-05 F 24875
1998-08-26 F 29056
1998-08-28 F 5707
1998-09-04 F 36913
1998-09-12 M 38633
1998-09-17 F 38634
1998-09-22 F 917
1998-10-11 F 34507
1998-11-02 M 14935
1998-11-03 M 7473
1998-11-14 M 23167
1998-12-03 M 38942
1998-12-20 F 17600
1998-12-23 M 29978
1998-12-24 F 31879
1998-12-24 M 21866
1999-01-12 F 33820
1999-01-17 M 36388
1999-01-25 M 5141
1999-02-25 F 15431
1999-03-18 F 27270
1999-03-19 F 41018
1999-03-22 M 31014
1999-04-02 F 5301
1999-04-16 F 35421
1999-04-27 F 39380
1999-04-29 F 32152
1999-05-10 M 18253
1999-05-11 F 18695
1999-06-03 M 21478
1999-06-04 F 16763
1999-06-09 M 22816
1999-06-22 M 11311
1999-06-28 F 13430
1999-07-06 M 41684
1999-07-08 M 22698
1999-07-13 F 28540
1999-07-16 M 6332
1999-07-28 M 15537
1999-07-30 M 29178
1999-08-18 M 17114
1999-08-18 M 40019
1999-08-23 F 7525
1999-08-26 F 21104
1999-08-31 F 13111
1999-09-04 M 206
1999-09-13 M 32119
1999-09-16 M 30396
1999-09-17 M 11083
1999-09-24 M 36714
1999-10-16 M 40415
1999-10-19 F 13755
1999-10-20 M 13889
1999-10-21 M 22547
1999-10-26 M 3213
1999-10-27 F 9955
1999-10-28 M 21061
1999-11-01 F 18392
1999-11-14 F 7079
1999-11-19 F 6550
1999-12-06 F 36756
1999-12-08 F 38272
1999-12-15 F 8456
1999-12-17 M 37295
1999-12-20 F 15061
1999-12-24 F 35093
2000-01-02 F 10043
2000-01-03 F 17362
2000-01-03 F 27725
2000-01-06 F 34821
2000-01-10 F 12923
2000-01-11 M 26720
2000-01-15 M 26341
2000-02-12 F 22175
2000-02-28 M 111
2000-03-05 F 20031
2000-03-08 M 2073
2000-03-23 M 30980
2000-03-30 M 17345
2000-04-12 F 9059
2000-04-14 M 11489
2000-04-26 F 9781
2000-05-10 M 14264
2000-05-23 F 19741
2000-05-26 M 35825
2000-05-27 M 37209
2000-05-30 F 11208
2000-05-31 M 28054
2000-06-01 M 38032
2000-06-02 M 13884
2000-06-23 F 20282
2000-06-30 M 28254
2000-07-05 M 1608
2000-07-11 M 25006
2000-07-12 M 35843
2000-07-13 M 41731
2000-07-18 M 15026
2000-07-22 M 27309
2000-07-24 F 6639
2000-07-27 M 24295
2000-08-15 F 3933
2000-08-18 M 15475
2000-08-21 F 39331
2000-08-30 M 18787
2000-09-02 F 20218
2000-09-05 M 12095
2000-09-12 M 5523
2000-09-14 F 23351
2000-09-22 F 8448
2000-09-26 F 30884
2000-10-03 M 13802
2000-10-05 F 14378
2000-10-10 M 13761
2000-10-16 M 4534
2000-10-16 F 23731
2000-11-01 F 1773
2000-11-04 F 1900
2000-11-12 F 19016
2000-11-16 F 33315
2000-11-21 F 10467
2000-11-28 F 40359
2000-11-29 M 7736
2000-12-18 M 16339
2000-12-30 M 41559
2001-01-05 M 9165
2001-01-12 F 8936
2001-01-22 M 7988
2001-01-27 F 1153
2001-02-25 M 9726
2001-03-06 F 3447
2001-03-10 M 1596
2001-03-11 M 6765
2001-03-15 M 7628
2001-03-21 F 2694
2001-03-22 M 8689
2001-04-03 F 7102
2001-04-09 F 8074
2001-04-10 F 4616
2001-05-02 F 3425
2001-06-05 F 8213
2001-06-11 F 1051
2001-06-25 M 383
2001-06-25 F 683
2001-06-28 M 9552
2001-06-28 F 1030
2001-07-25 F 7772
2001-08-01 M 815
2001-08-13 M 6591
2001-08-23 M 7011
2001-08-25 F 6253
2001-08-28 M 150
2001-09-02 F 5365
2001-09-03 F 8373
2001-09-07 M 270
2001-09-11 F 8730
2001-09-24 M 2409
2001-09-28 F 8007
2001-10-07 M 5778
2001-10-12 M 5895
2001-10-24 F 636
2001-10-31 M 9274
2001-11-01 M 7223
2001-11-12 M 2434
2001-11-15 F 5580
2001-11-16 M 7500
2001-11-27 F 6095
2001-11-28 M 5054
2001-12-10 M 7342
2001-12-21 M 8876
2001-12-22 F 4537
2002-01-04 F 8788
2002-01-07 M 451
2002-01-10 M 2525
2002-02-01 M 7238
2002-02-06 M 5030
2002-02-26 M 2143
2002-02-28 M 6084
2002-03-02 M 7281
2002-03-04 F 5912
2002-03-05 M 2730
2002-03-13 M 5123
2002-03-27 M 4727
2002-03-28 M 6918
2002-04-04 F 8071
2002-04-12 M 8164
2002-04-16 M 6502
2002-04-20 M 1935
2002-05-15 F 9268
2002-06-02 F 2636
2002-06-12 F 3095
2002-06-18 F 3550
2002-06-26 F 8232
2002-07-16 F 7848
2002-07-18 M 6490
2002-07-29 M 273
2002-07-31 M 6758
2002-08-24 F 5954
2002-08-28 F 5801
2002-09-17 M 7124
2002-09-19 M 8645
2002-09-20 F 1352
2002-10-16 M 5937
2002-10-17 F 2154
2002-10-18 F 8320
2002-10-21 M 498
2002-10-23 M 3161
2002-10-31 M 3842
2002-11-05 M 3358
2002-11-10 F 7478
2002-11-12 F 9316
2002-11-13 M 5702
2002-12-01 M 6906
2002-12-03 M 1762
2002-12-07 M 9263
2002-12-15 F 8358
2002-12-16 F 1260
2002-12-24 F 651
2002-12-26 M 5381
2002-12-27 M 7053
2002-12-28 M 1870
2002-12-31 F 5207
2002-12-31 M 6573
2003-01-08 F 5746
2003-01-10 F 8609
2003-01-12 M 6611
2003-02-02 M 8154
2003-02-08 M 8106
2003-02-13 M 546
2003-02-18 M 3576
2003-02-19 F 8046
2003-02-24 M 6301
2003-03-20 F 2632
2003-03-29 M 7001
2003-04-04 M 1585
2003-04-05 M 3804
2003-04-11 M 1911
2003-04-25 M 1858
2003-05-29 F 1632
2003-06-08 F 700
2003-06-13 F 5256
2003-06-14 F 7014
2003-06-22 M 6019
2003-06-23 F 8553
2003-06-24 F 711
2003-06-26 M 8683
2003-06-27 F 683
2003-06-30 M 7647
2003-07-03 M 6438
2003-07-17 F 7966
2003-07-17 M 6222
2003-07-21 M 5104
2003-08-05 F 2292
2003-08-06 M 4585
2003-08-09 M 4740
2003-08-16 M 9278
2003-08-17 M 9210
2003-08-27 F 809
2003-08-31 F 2023
2003-09-02 F 3543
2003-09-10 F 3101
2003-09-10 M 1440
2003-09-29 F 3171
2003-10-01 M 3755
2003-10-03 F 4869
2003-10-07 M 2832
2003-10-14 M 2052
2003-10-16 F 2811
2003-10-22 M 4277
2003-11-07 F 914
2003-11-18 M 5523
2003-11-24 F 2304
2003-12-03 M 5581
2003-12-06 M 4832
2003-12-10 F 2728
2003-12-13 F 7718
2003-12-29 M 7320
2004-01-03 M 5762
2004-01-12 F 2460
2004-01-31 M 4530
2004-02-04 M 7650
2004-02-14 M 6660
2004-02-14 F 6583
2004-02-23 F 2880
2004-02-24 M 8419
2004-02-24 M 7200
2004-03-15 M 768
2004-03-16 F 306
2004-03-18 F 6621
2004-03-18 F 4570
2004-04-07 F 3993
2004-04-14 F 2878
2004-05-07 F 2472
2004-05-07 F 6409
2004-05-20 F 7544
2004-05-21 F 8564
2004-05-28 F 7095
2004-05-30 F 4790
2004-06-06 M 6789
2004-06-07 F 3509
2004-06-09 M 3818
2004-06-12 M 4102
2004-06-23 M 9638
2004-06-23 F 1078
2004-06-24 M 4304
2004-06-25 M 2712
2004-06-28 M 2280
2004-07-05 M 3148
2004-07-08 F 3256
2004-07-30 F 9548
2004-08-05 M 1431
2004-08-12 M 4027
2004-08-19 M 1266
2004-09-08 M 5787
2004-09-22 F 1860
2004-09-28 F 2962
2004-09-29 M 3211
2004-10-05 F 2447
2004-10-07 F 4713
2004-10-19 F 3560
2004-10-20 F 331
2004-11-01 F 620
2004-11-06 F 8352
2004-11-09 F 947
2004-11-09 M 4813
2004-11-12 F 8065
2004-11-26 M 2738
2004-11-30 M 5036
2004-12-06 M 8487
2004-12-31 M 2269
2005-01-14 M 8625
2005-01-15 F 9641
2005-01-16 M 4736
2005-01-20 M 6462
2005-02-13 M 7516
2005-02-20 M 4353
2005-02-24 M 5660
2005-03-02 F 6050
2005-03-02 M 8121
2005-03-05 F 5543
2005-03-10 M 9343
2005-03-12 F 9210
2005-03-24 F 9515
2005-04-09 F 3839
2005-04-13 M 83
2005-04-19 F 7018
2005-04-23 F 7621
2005-04-26 M 2365
2005-05-01 F 1914
2005-05-10 F 5407
2005-05-13 M 5224
2005-05-23 M 8720
2005-05-29 M 3508
2005-06-13 F 3747
2005-06-30 F 8705
2005-07-11 M 614
2005-07-18 F 3426
2005-07-23 M 6455
2005-07-24 M 1350
2005-08-04 M 5279
2005-08-05 M 6044
2005-08-07 M 8327
2005-08-14 M 5556
2005-08-22 M 3208
2005-08-23 F 2610
2005-08-27 F 239
2005-09-20 F 1122
2005-09-28 F 3211
2005-10-19 M 8642
2005-10-25 M 5933
2005-10-27 M 7439
2005-11-01 M 8164
2005-11-08 M 4291
2005-11-11 F 2624
2005-11-21 F 7437
2005-11-27 M 664
2005-12-25 M 6495
2005-12-26 F 9408
2005-12-31 M 1407
2006-01-12 M 0
2006-01-15 F 0
2006-01-31 F 0
2006-02-24 F 0
2006-03-18 F 0
2006-04-07 M 0
2006-04-12 M 0
2006-04-13 F 0
2006-04-25 M 0
2006-04-29 M 0
2006-05-19 M 0
2006-05-20 M 0
2006-05-21 F 0
2006-05-30 M 0
2006-06-09 M 0
2006-06-09 F 0
2006-06-10 M 0
2006-06-20 F 0
2006-06-26 M 0
2006-06-28 M 0
2006-07-02 M 0
2006-07-20 M 0
2006-09-03 F 0
2006-09-06 F 0
2006-09-09 M 0
2006-09-25 F 0
2006-10-06 M 0
2006-10-16 M 0
2006-10-19 F 0
2006-10-22 F 0
2006-10-27 F 0
2006-11-28 M 0
2006-12-03 M 0
2006-12-12 F 0
2006-12-12 M 0
2006-12-14 F 0
2007-01-05 F 0
2007-01-25 F 0
2007-01-26 F 0
2007-02-02 F 0
2007-02-10 F 0
2007-02-15 F 0
2007-02-19 F 0
2007-02-22 M 0
2007-02-22 M 0
2007-03-28 M 0
2007-04-13 M 0
2007-04-22 M 0
2007-04-29 M 0
2007-05-28 M 0
2007-06-06 M 0
2007-06-21 M 0
2007-07-03 F 0
2007-07-07 F 0
2007-07-24 F 0
2007-07-30 F 0
2007-08-04 F 0
2007-08-11 F 0
2007-08-14 M 0
2007-08-22 F 0
2007-09-03 F 0
2007-09-19 F 0
2007-09-20 F 0
2007-09-23 F 0
2007-10-01 M 0
2007-10-05 M 0
2007-10-06 M 0
2007-10-07 F 0
2007-10-11 F 0
2007-10-14 M 0
2007-10-21 F 0
2007-10-25 M 0
2007-10-31 F 0
2007-11-05 F 0
2007-11-19 F 0
2007-11-25 M 0
2007-11-30 F 0
2007-12-06 M 0
2007-12-16 F 0
2007-12-22 M 0
2007-12-27 F 0
2008-01-02 F 0
2008-01-05 M 0
2008-01-08 M 0
2008-01-20 F 0
2008-01-23 M 0
2008-01-28 F 0
2008-02-06 F 0
2008-02-13 F 0
2008-02-21 M 0
2008-02-22 M 0
2008-03-14 M 0
2008-03-16 M 0
2008-03-18 F 0
2008-03-20 M 0
2008-03-25 F 0
2008-04-05 F 0
2008-04-17 F 0
2008-05-26 F 0
2008-05-28 F 0
2008-05-30 M 0
2008-06-05 M 0
2008-06-13 M 0
2008-06-13 M 0
2008-06-16 M 0
2008-06-17 F 0
2008-07-04 F 0
2008-07-14 F 0
2008-07-18 M 0
2008-07-19 M 0
2008-08-05 M 0
2008-08-15 F 0
2008-09-03 M 0
2008-09-05 M 0
2008-09-08 M 0
2008-09-11 M 0
2008-09-26 F 0
2008-10-07 F 0
2008-10-27 F 0
2008-10-30 M 0
2008-11-13 M 0
2008-11-28 M 0
2008-12-04 M 0
2008-12-10 F 0
2008-12-13 M 0
2008-12-26 M 0
2008-12-29 M 0
2009-01-04 M 0
2009-01-06 F 0
2009-01-11 F 0
2009-01-30 F 0
2009-02-16 M 0
2009-02-20 F 0
2009-02-20 F 0
2009-03-07 F 0
2009-03-08 F 0
2009-03-16 M 0
2009-03-20 M 0
2009-03-23 M 0
2009-04-01 M 0
2009-04-01 F 0
2009-04-19 F 0
2009-05-17 F 0
2009-05-20 F 0
2009-06-03 F 0
2009-06-12 F 0
2009-06-14 M 0
2009-06-15 M 0
2009-06-18 F 0
2009-06-20 F 0
2009-08-03 F 0
2009-08-09 M 0
2009-08-20 M 0
2009-08-25 M 0
2009-09-18 M 0
2009-11-06 F 0
2009-11-06 M 0
2009-11-11 M 0
2009-11-15 M 0
2009-11-17 F 0
2009-11-22 F 0
2009-11-25 M 0
2009-11-26 M 0
2009-11-27 F 0
2009-12-22 F 0
2009-12-26 F 0
2009-12-28 M 0
2010-01-01 M 0
2010-01-14 M 0
2010-01-18 M 0
2010-01-19 M 0
2010-01-19 M 0
2010-02-08 M 0
2010-02-12 M 0
2010-02-19 F 0
2010-02-25 M 0
2010-03-03 M 0
2010-03-03 M 0
2010-03-11 M 0
2010-03-13 M 0
2010-03-16 F 0
2010-03-20 M 0
2010-03-21 M 0
2010-03-26 M 0
2010-04-10 M 0
2010-04-13 M 0
2010-04-14 F 0
2010-04-17 F 0
2010-04-22 F 0
2010-04-29 F 0
2010-04-30 F 0
2010-05-17 F 0
2010-05-19 M 0
2010-05-26 M 0
2010-06-22 M 0
2010-07-02 M 0
2010-07-10 M 0
2010-07-11 F 0
2010-07-12 M 0
2010-07-23 F 0
2010-07-26 M 0
2010-08-01 M 0
2010-08-08 M 0
2010-08-12 F 0
2010-09-05 F 0
2010-09-12 M 0
2010-09-12 M 0
2010-09-15 M 0
2010-09-22 M 0
2010-09-26 M 0
2010-09-27 M 0
2010-10-06 M 0
2010-10-08 M 0
2010-10-18 M 0
2010-10-23 F 0
2010-11-02 F 0
2010-11-04 F 0
2010-11-05 M 0
2010-11-21 M 0
2010-11-27 M 0
2010-12-17 F 0
2010-12-17 M 0
2011-01-03 F 0
2011-01-27 F 0
2011-01-30 F 0
2011-02-01 F 0
2011-02-10 F 0
2011-02-17 M 0
2011-02-20 M 0
2011-03-05 M 0
2011-03-15 M 0
2011-03-16 F 0
2011-03-23 M 0
2011-03-25 M 0
2011-03-25 M 0
2011-03-28 M 0
2011-03-28 F 0
2011-04-02 F 0
2011-04-05 F 0
2011-04-07 F 0
2011-04-07 M 0
2011-04-11 M 0
2011-04-12 F 0
2011-04-25 F 0
2011-04-26 F 0
2011-05-02 M 0
2011-05-05 F 0
2011-05-06 M 0
2011-05-09 F 0
2011-05-14 F 0
2011-05-17 F 0
2011-05-22 M 0
2011-05-30 F 0
2011-06-03 M 0
2011-06-11 M 0
2011-06-29 M 0
2011-07-03 M 0
2011-07-05 F 0
2011-07-18 M 0
2011-07-19 F 0
2011-07-25 M 0
2011-08-02 M 0
2011-08-05 F 0
2011-08-15 F 0
2011-09-02 F 0
2011-09-09 M 0
2011-09-25 F 0
2011-09-27 F 0
2011-09-30 M 0
2011-10-01 F 0
2011-10-18 F 0
2011-10-24 M 0
2011-10-25 M 0
2011-10-31 F 0
2011-11-10 F 0
2011-12-09 M 0
2011-12-10 F 0
2011-12-17 F 0
2012-01-06 M 0
2012-01-07 F 0
2012-01-12 F 0
2012-01-15 M 0
2012-01-17 M 0
2012-01-27 F 0
2012-02-12 M 0
2012-02-18 F 0
2012-02-23 F 0
2012-02-27 M 0
2012-03-21 F 0
2012-03-22 F 0
2012-03-24 M 0
2012-03-27 M 0
2012-04-02 F 0
2012-04-14 M 0
2012-04-21 F 0
2012-05-02 M 0
2012-05-15 F 0
2012-05-17 F 0
2012-05-25 M 0
2012-06-01 F 0
2012-06-04 F 0
2012-06-16 M 0
2012-06-28 F 0
2012-07-01 F 0
2012-07-08 M 0
2012-07-14 M 0
2012-07-23 M 0
2012-07-28 M 0
2012-08-09 M 0
2012-08-14 M 0
2012-08-16 F 0
2012-08-19 F 0
2012-08-25 F 0
2012-08-26 F 0
2012-08-28 M 0
2012-08-30 M 0
2012-09-01 M 0
2012-09-04 F 0
2012-09-06 M 0
2012-09-08 M 0
2012-09-18 F 0
2012-09-22 F 0
2012-09-25 F 0
2012-10-06 F 0
2012-10-07 F 0
2012-10-21 M 0
2012-10-22 M 0
2012-11-08 M 0
2012-11-08 M 0
2012-11-09 M 0
2012-11-11 F 0
2012-11-17 F 0
2012-12-09 M 0
2012-12-11 M 0
2012-12-18 F 0
2013-01-02 M 0
2013-01-12 F 0
2013-01-15 M 0
2013-01-16 F 0
2013-01-23 M 0
2013-01-28 F 0
2013-02-16 F 0
2013-02-22 M 0
2013-02-28 M 0
2013-03-02 F 0
2013-03-04 M 0
2013-03-23 M 0
2013-03-25 M 0
2013-04-04 M 0
2013-04-04 M 0
2013-04-08 F 0
2013-04-10 M 0
2013-04-12 F 0
2013-04-14 F 0
2013-04-17 M 0
2013-05-01 M 0
2013-05-17 M 0
2013-06-02 M 0
2013-06-05 F 0
2013-06-12 F 0
2013-06-17 M 0
2013-06-24 F 0
2013-06-25 F 0
2013-06-26 M 0
2013-07-01 M 0
2013-07-05 F 0
2013-07-19 F 0
2013-08-18 F 0
2013-08-22 F 0
2013-08-26 F 0
2013-09-01 F 0
2013-09-01 M 0
2013-09-08 M 0
2013-09-14 F 0
2013-09-24 M 0
2013-09-24 F 0
2013-09-25 M 0
2013-10-05 F 0
2013-10-13 M 0
2013-10-14 M 0
2013-10-16 F 0
2013-10-19 M 0
2013-10-20 M 0
2013-10-25 F 0
2013-10-26 M 0
2013-10-31 M 0
2013-11-02 M 0
2013-11-14 F 0
2013-11-26 M 0
2013-12-01 F 0
2013-12-04 M 0
2013-12-17 M 0
2013-12-25 F 0
2013-12-27 M 0
2013-12-30 F 0
